,Time_in_s,Frequency_in_Hz
0,200.75666570129889,33.40835440870634
1,200.57693169242523,30.907840835178934
2,200.5084615938067,25.85583999251159
3,200.8080182752628,19.11559655108528
4,200.96207599715453,17.284795961809856
5,201.15892753068283,15.84539126778926
6,201.46704297446627,15.991081629478243
7,201.8179522298863,15.991081629478243
8,202.0233625257419,17.284795961809856
9,201.8179522298863,19.55802681925037
10,201.60398317170333,22.333700608511023
11,201.46704297446627,24.926377107443063
12,201.40713163817503,28.204599756413536
13,201.31298525257455,31.623202465278617
14,201.17604505533745,33.715527337097974
15,200.97919352180915,33.715527337097974
