,Time_in_s,Frequency_in_Hz
0,25.353945827851618,127.05010460919603
1,25.308332114988808,117.41379540314234
2,25.42102481735575,93.02135466927065
3,25.55249963678385,75.6597368084134
4,25.678608137051615,69.1377474856153
5,25.842280871441698,61.53851225098771
6,26.09181471239707,54.56919230846257
7,26.26890324468798,53.553931535302766
8,26.590882394307812,53.35315739487177
9,26.69552561793426,54.3646119468411
10,26.730406692476407,60.84897858920636
11,26.60966451136897,65.35017065006535
12,26.35476435125327,63.415710018521324
13,26.0971810315574,70.18433017296711
14,25.86374614808302,80.34605535478299
15,25.72153869033426,90.9484411772049
16,25.622261785868147,105.69260288347233
17,25.579331232585503,129.45868571123023
18,25.549816477203684,139.0351555525169
19,25.445173253577238,137.99462176192384
20,25.396876381134263,133.90977912864773
